,Native dbh in cm,,,,Native th in m,,,,Exotic dbh in cm,,,,Exotic th in m,,,
cycle,Seedling,Sapling,Pole,Adult,Seedling,Sapling,Pole,Adult,Seedling,Sapling,Pole,Adult,Seedling,Sapling,Pole,Adult
86,1.314790469,2.634955454,19.45993132,39.32254039,1.596281596,2.523071446,13.92727056,18.49905602,1.825881013,3.749484815,24.67231243,50.48594696,1.850971457,2.972861688,11.99740254,13.41196476
87,1.345765434,2.665254448,19.48587195,39.34368051,1.611385333,2.549012398,13.93761597,18.50205662,1.372156878,2.915412018,24.74814821,50.57033327,1.640364819,2.475073743,12.01045888,13.41436454
88,1.376862234,2.696441836,19.51476949,39.36815739,1.626926237,2.575893785,13.94906941,18.50563474,1.425495816,2.970177489,24.81212645,50.64782704,1.662632991,2.506830963,12.02151061,13.41648283
89,1.31333498,2.731580561,19.5458354,39.38551359,1.604699207,2.606383858,13.96158534,18.50816812,1.478833273,3.025121162,24.87076798,50.72164105,1.685391466,2.538955365,12.03140605,13.41853375
90,1.276574691,2.765848534,19.56884377,39.38851523,1.592002548,2.636311771,13.97130922,18.50849603,1.532169872,3.080685706,24.93413019,50.79262045,1.708626554,2.571676436,12.04208808,13.42051154
91,1.25700304,2.797344179,19.60080994,39.41673567,1.585533599,2.663978789,13.98389017,18.51258074,1.585504722,3.135047732,24.99567883,50.87052304,1.73232435,2.603880504,12.05240045,13.42261461
92,1.288741846,2.828927376,19.62889513,39.43372028,1.600077284,2.691896673,13.99511958,18.51502017,1.638835609,3.187686619,25.06051556,50.94180828,1.756470734,2.635218258,12.06317823,13.42458034
93,1.312495348,2.841590657,19.65231417,39.4363072,1.610553927,2.703983939,14.00490878,18.51539973,1.692166962,3.243244755,25.12240024,51.01497497,1.781054999,2.668613835,12.0733811,13.42656619
94,1.294168964,2.765810612,19.6722368,39.42030223,1.597367345,2.641550376,14.01372342,18.51305341,1.754144913,3.307236748,25.19662808,51.1004822,1.810160598,2.707301012,12.08571935,13.42882906
95,1.284649624,2.730012415,19.69668674,39.42398683,1.588784109,2.612222741,14.02364016,18.51357441,1.818226199,3.37407561,25.23919087,51.13392786,1.84083578,2.748048435,12.09344021,13.42941784
96,1.266874435,2.697808346,19.72024234,39.42886614,1.575158762,2.585612074,14.03331705,18.5142926,1.877595348,3.433884568,25.29105643,51.18107856,1.869768216,2.784684482,12.10231046,13.43047813
97,1.278498449,2.707413025,19.74173086,39.43364572,1.578273518,2.594138715,14.04221716,18.51499639,1.339019302,3.493232869,25.34279273,51.23562494,1.631175774,2.821314719,12.11100394,13.43176387
98,1.309146763,2.738431921,19.76163172,39.42378504,1.592757153,2.620870186,14.05067632,18.51359073,1.397853211,3.555003872,25.16191934,50.9119359,1.655295277,2.859704805,12.08696458,13.42118423
99,1.340209746,2.769247051,19.78049034,39.4157685,1.607820004,2.647565892,14.0586799,18.51255213,1.372144261,3.408636719,25.03138015,50.70685272,1.640359605,2.77314009,12.07053939,13.41436389
