seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,exotic_price_per_bdft,native_price_per_bdft,investor_percent_earning_share,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,with_investment
3331233084773310500.0,138,10,1,3,15,30,90.12,98.7,0.3,72233,62666,33486,10579,5871,42001,7755,35529,22054184.74542808,21245154.61588571,-809030.1295423731,7472418.335680339,0.0,9253115.406741802,3417388.7999999993,30,375,true
3331233084773310500.0,140,10,4,1,30,30,45.06,49.35,0.3,78217,61978,33769,10678,5505,40336,6662,36432,28656771.19919999,12219765.798786651,-16437005.400413338,13658302.605576923,0.0,2285418.1471612463,3417388.7999999993,30,369,true
3331233084773310500.0,140,10,4,1,30,30,90.12,98.7,0.3,78217,61978,33769,10678,5505,40336,6662,36432,28656771.19919999,21022142.797573302,-7634628.4016266875,13658302.605576923,0.0,4570836.294322493,3417388.7999999993,30,369,true
3331233084773310500.0,140,10,4,1,15,30,45.06,49.35,0.3,77806,61397,33240,10612,5510,39781,6690,36535,21615747.38951922,12664680.917589493,-8951066.471929725,7423973.381985268,0.0,3194633.525022147,3417388.7999999993,30,373,true
3331233084773310500.0,140,10,4,1,15,30,90.12,98.7,0.3,77806,61397,33240,10612,5510,39781,6690,36535,21615747.38951922,21911973.03517898,296225.64565976337,7423973.381985268,0.0,6389267.050044294,3417388.7999999993,30,373,true
3331233084773310500.0,139,10,4,3,30,30,45.06,49.35,0.3,79296,62618,33523,10659,5585,41627,7100,35891,30478294.012814086,13932928.573462624,-16545365.439351462,14875022.389475025,0.0,5384320.835072869,3417388.7999999993,30,350,true
3331233084773310500.0,137,10,4,3,30,30,90.12,98.7,0.3,65208,63930,33687,10629,6095,43638,7840,35350,29082145.918392595,23486239.528614398,-5595906.389778197,14599251.205055952,0.0,9853944.235958094,3417388.7999999993,30,361,true
3331233084773310500.0,142,10,4,3,15,30,45.06,49.35,0.3,70144,66030,32932,10625,5218,38027,5990,37030,22096114.54730638,10209250.331229398,-11886864.216076983,7189101.755591278,0.0,3104431.657784363,3417388.7999999993,30,473,true
3331233084773310500.0,142,10,4,3,15,30,90.12,98.7,0.3,69934,65563,32925,10665,5281,38290,6035,37137,21522453.100582737,17343851.667297643,-4178601.433285095,6945714.530119386,0.0,5402279.805848356,3417388.7999999993,30,462,true
3331233084773310500.0,249,20,1,1,30,10,45.06,49.35,0.3,88893,112170,22316,12399,22026,36122,3099,33573,22732317.642955583,11953198.671478894,-10779118.971476689,17309362.502132133,123773562.4738459,5804902.007989021,2205988.599999999,10,42,true
3331233084773310500.0,248,20,1,1,30,10,90.12,98.7,0.3,87487,111561,22397,11913,21172,35340,3144,31698,20231888.82876248,16145141.241606835,-4086747.587155644,19135105.09292013,327389584.38273567,7907708.017419198,2205988.599999999,10,144,true
3331233084773310500.0,249,20,1,1,15,10,45.06,49.35,0.3,90185,111124,22283,12936,24796,38422,3154,37640,22374332.34383009,11237738.288463974,-11136594.055366116,12027624.262723684,0.0,5588514.750619098,2205988.599999999,10,84,true
3331233084773310500.0,248,20,1,1,15,10,90.12,98.7,0.3,92042,111053,22534,13054,25481,39871,3161,37703,20296779.240306217,12170662.759349292,-8126116.480956925,11966446.087922763,0.0,5244687.113384909,2205988.599999999,10,213,true
