'NATIVE',cycle,Seedling,Sapling,Pole,Adult,Native
NATIVE,2493,8157,12955,4965,43136,69213
NATIVE,2494,7522,13352,4963,43131,68968
NATIVE,2495,7001,13666,4963,43127,68757
NATIVE,2496,6505,13928,4957,43127,68517
NATIVE,2497,6323,13893,4960,43122,68298
NATIVE,2498,6243,13726,4973,43121,68063
NATIVE,2499,6168,13552,4981,43123,67824
NATIVE,2500,6091,13417,4977,43122,67607
NATIVE,2501,6894,13285,4967,43122,68268
NATIVE,2502,7680,13163,4943,43128,68914
NATIVE,2503,8443,13027,4923,43132,69525
NATIVE,2504,8355,12895,4893,43130,69273
NATIVE,2505,8154,12896,4882,43129,69061
NATIVE,2506,7537,13269,4890,43127,68823
NATIVE,2507,6980,13557,4903,43122,68562
NATIVE,2508,6461,13840,4904,43120,68325
NATIVE,2509,6271,13811,4918,43119,68119
NATIVE,2510,6207,13676,4924,43118,67925
NATIVE,2511,6159,13515,4939,43116,67729
NATIVE,2512,6095,13389,4936,43115,67535
NATIVE,2513,6889,13253,4947,43112,68201
NATIVE,2514,7687,13122,4920,43119,68848
NATIVE,2515,8475,12996,4905,43122,69498
NATIVE,2516,8370,12860,4895,43121,69246
NATIVE,2517,8166,12837,4880,43119,69002
NATIVE,2518,7571,13201,4873,43117,68762
NATIVE,2519,7031,13504,4871,43115,68521
NATIVE,2520,6536,13794,4880,43116,68326
NATIVE,2521,6331,13757,4886,43110,68084
