seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,investor_percent_earning_share,exotic_price_per_bdft,native_price_per_bdft,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,own_laborer,member_laborer,independent_laborer
10.0,310,15,1,1,15,50,0.3,90.12,98.7,92947,134010,24513,16256,5690,43719,4504,37330,52989506.53599034,73280498.48772609,20290991.95173575,41251.23481499999,0.0,13992779.977524402,16725591.00000001,100,1059,20,7,0
10.0,311,15,1,1,15,50,0.3,90.12,98.7,87162,137347,24519,16275,5539,42623,4500,37326,53119672.199505344,73280498.48772609,20160826.28822075,41251.23481499999,0.0,13992779.977524402,16725591.00000001,100,1059,20,9,0
10.0,312,15,1,1,15,50,0.3,90.12,98.7,80504,141615,24495,16305,5384,41584,4501,37300,53258224.88089035,73280498.48772609,20022273.606835745,37057.72587999999,0.0,13992779.977524402,16725591.00000001,100,1059,13,10,0
10.0,313,15,1,1,15,50,0.3,90.12,98.7,77149,142577,24492,16313,35531,40601,4468,37281,53367412.252230346,73280498.48772609,19913086.235495746,46896.335184999996,0.0,13992779.977524402,16725591.00000001,100,1059,20,14,0
10.0,314,15,1,1,15,50,0.3,90.12,98.7,76259,141057,24576,16319,34425,39651,4410,37269,53532577.57866035,73280498.48772609,19747920.909065746,63670.37092499999,0.0,13992779.977524402,16725591.00000001,100,1059,16,14,0
10.0,315,15,1,1,15,50,0.3,90.12,98.7,75382,139453,24730,16350,28431,43744,4344,37248,53689355.887220345,73280498.48772609,19591142.600505747,62902.634024999985,0.0,13992779.977524402,16725591.00000001,100,1059,11,14,0
10.0,316,15,1,1,15,50,0.3,90.12,98.7,74458,137899,24851,16396,27614,42679,4275,37240,53832785.932075344,73280498.48772609,19447712.55565075,88831.42453499998,0.0,13992779.977524402,16725591.00000001,100,1059,20,8,0
10.0,317,15,1,1,15,50,0.3,90.12,98.7,84308,136422,24909,16422,26783,41713,4217,37229,53975532.122395344,73280498.48772609,19304966.36533075,45444.743749999994,0.0,13992779.977524402,16725591.00000001,100,1059,20,7,0
10.0,318,15,1,1,15,50,0.3,90.12,98.7,93843,135162,24793,16456,26019,40713,4154,37226,54128116.922020346,73280498.48772609,19152381.565705746,42702.82625,0.0,13992779.977524402,16725591.00000001,100,1059,13,9,0
10.0,319,15,1,1,15,50,0.3,90.12,98.7,104085,133908,24721,16489,25261,39805,4106,37215,54234573.12336034,73280498.48772609,19045925.36436575,42702.82625,0.0,13992779.977524402,16725591.00000001,100,1059,20,10,0
10.0,320,15,1,1,15,50,0.3,90.12,98.7,102837,132635,24650,16528,24515,38889,4060,37208,54389323.02228534,73280498.48772609,18891175.46544075,53254.94341999998,0.0,13992779.977524402,16725591.00000001,100,1059,16,14,0
10.0,321,15,1,1,15,50,0.3,90.12,98.7,100843,132186,24633,16566,23840,37961,4025,37198,54548843.248345345,73280498.48772609,18731655.239380747,66412.28842499998,0.0,13992779.977524402,16725591.00000001,100,1059,11,14,0
10.0,322,15,1,1,15,50,0.3,90.12,98.7,93774,136796,24606,16569,23163,36611,4425,37181,54670621.893990345,73280498.48772609,18609876.593735747,62902.63402499998,0.0,13992779.977524402,16725591.00000001,100,1059,20,14,0
10.0,323,15,1,1,15,50,0.3,90.12,98.7,87843,140312,24581,16589,22466,35522,4668,37178,54847600.01032534,73280498.48772609,18432898.47740075,83186.32416499998,0.0,13992779.977524402,16725591.00000001,100,1059,20,8,0
10.0,324,15,1,1,15,50,0.3,90.12,98.7,81354,144480,24562,16595,21831,34472,4839,37184,54994539.70958034,73280498.48772609,18285958.778145753,37057.72588,0.0,13992779.977524402,16725591.00000001,100,1059,13,7,0
10.0,325,15,1,1,15,50,0.3,90.12,98.7,78095,145265,24615,16622,28460,33643,4843,37168,55103727.08092034,73280498.48772609,18176771.406805754,38509.317315,0.0,13992779.977524402,16725591.00000001,100,1059,20,9,0
10.0,326,15,1,1,15,50,0.3,90.12,98.7,77157,143738,24693,16645,27685,32871,4793,37155,55243731.35374034,73280498.48772609,18036767.13398575,38509.31731499999,0.0,13992779.977524402,16725591.00000001,100,1059,16,10,0
10.0,327,15,1,1,15,50,0.3,90.12,98.7,76306,142157,24837,16688,6848,52207,4609,37271,55383735.626560345,73280498.48772609,17896762.861165747,46896.33518499999,0.0,13992779.977524402,16725591.00000001,100,1059,11,14,0
10.0,328,15,1,1,15,50,0.3,90.12,98.7,75379,140614,24928,16718,6653,50921,4501,37319,55500743.94507035,73280498.48772609,17779754.542655744,65835.47022499998,0.0,13992779.977524402,16725591.00000001,100,1059,20,14,0
10.0,329,15,1,1,15,50,0.3,90.12,98.7,85499,139222,24929,16782,6463,49585,4431,37319,55656070.66219535,73280498.48772609,17624427.825530745,62902.63402499998,0.0,13992779.977524402,16725591.00000001,100,1059,20,14,0
10.0,330,15,1,1,15,50,0.3,90.12,98.7,95421,137975,24834,16805,6274,48337,4386,37299,55837242.28746535,73280498.48772609,17443256.200260743,83186.32416499998,0.0,13992779.977524402,16725591.00000001,100,1059,13,8,0
