seed,cycle,investor_percent_earning_share,investor_count,investment_rotation_years,nursery_count,police_count,member_count,exotic_price_per_bdft,native_price_per_bdft,Seedling,Sapling,Pole,Adult,Native,Seedling,Sapling,Pole,Adult,Exotic,Total,management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,average m_partners_earning,m_independent_earning,average m_independent_earning,own_laborer,member_laborer,independent_laborer,investor_total_profit,total_investment_cost,total net investor profit,average net investor profit,total_investments,inv_harvested_trees,with_investment,equally_profitable
10,203,0.3,30,15,1,3,15,90.12,98.7,74854,99760,26494,12262,213370,22905,35240,3651,38262,100058,313428,30885049.91,24739696.03,-6145353.879,9960784.86,3930.854325,0,0,3229,2534,0,7766409.124,5017677.3,2748731.824,91624.39414,30,474,TRUE,0
10,198,0.3,30,15,1,1,30,45.06,49.35,80714,96731,27648,12211,217304,26284,41137,3173,38116,108710,326014,40797792.71,17331905.44,-23465887.26,19101919.71,3895.17123,0,0,3155,4904,0,6073512.579,5017677.3,1055835.279,35194.50929,30,433,TRUE,0
10,196,0.3,30,15,1,1,30,90.12,98.7,62223,97820,27576,12065,199684,28012,43250,3374,38249,112885,312569,38042460.16,19021546,-19020914.16,19676608.08,4048.684789,0,0,3130,4860,0,3331249.387,5017677.3,-1686427.913,-56214.26377,30,598,TRUE,0
10,199,0.3,30,15,1,1,15,45.06,49.35,88121,93117,27034,12110,220382,25506,39433,3029,38158,106126,326508,31072339.41,16221598.35,-14850741.06,9760804.109,3934.221729,0,0,3177,2481,0,5361918.825,5017677.3,344241.5248,11474.71749,30,471,TRUE,0
10,200,0.3,30,15,1,1,15,90.12,98.7,86875,92473,26710,12162,218220,25065,38623,3008,38448,105144,323364,28406506.14,16342364.16,-12064141.98,10418230.68,4168.959857,0,0,3203,2499,0,3425952.143,5017677.3,-1591725.157,-53057.50522,30,646,TRUE,0
10,135,0.3,30,10,3,3,30,45.06,49.35,57569,65544,34003,10550,167666,6530,45843,7822,35782,95977,263643,25612910.74,8408629.905,-17204280.84,12712074.16,3819.733821,0,0,2143,3328,0,404735.4122,3417388.8,-3012653.388,-100421.7796,30,514,TRUE,0
10,135,0.3,30,10,3,3,30,90.12,98.7,57569,65544,34003,10550,167666,6530,45843,7822,35782,95977,263643,25612910.74,13399871.01,-12213039.73,12712074.16,3819.733821,0,0,2143,3328,0,809470.8245,3417388.8,-2607917.976,-86930.59918,30,514,TRUE,0
10,138,0.3,30,10,3,3,15,45.06,49.35,72622,62729,33727,10589,179667,5902,42215,7823,35562,91502,271169,21160299.11,11888399.78,-9271899.33,6582219.863,3813.568866,0,0,2145,1726,0,1746712.968,3417388.8,-1670675.832,-55689.1944,30,368,TRUE,0
10,138,0.3,30,10,3,3,15,90.12,98.7,72622,62729,33727,10589,179667,5902,42215,7823,35562,91502,271169,21160299.11,20359410.75,-800888.3527,6582219.863,3813.568866,0,0,2145,1726,0,3493425.936,3417388.8,76037.13583,2534.571194,30,368,TRUE,0
10,139,0.3,30,10,3,1,30,45.06,49.35,79262,62287,33668,10621,185838,5730,41436,7123,36013,90302,276140,26784394.55,9536237.688,-17248156.86,12908913.51,3749.321379,0,0,2182,3443,0,633188.0072,3417388.8,-2784200.793,-92806.69309,30,467,TRUE,0
10,136,0.3,30,10,3,1,30,90.12,98.7,57001,64061,34045,10483,165590,6202,44922,7942,35583,94649,260239,26179493.66,15688115.92,-10491377.75,12553221.21,3742.761242,0,0,2142,3354,0,1294686.877,3417388.8,-2122701.923,-70756.73078,30,466,TRUE,0
10,140,0.3,30,10,3,1,15,45.06,49.35,78106,61290,33362,10608,183366,5601,40107,6641,36598,88947,272313,21510551.81,10167718.76,-11342833.05,6410840.633,3652.900646,0,0,2176,1755,0,1151329.021,3417388.8,-2266059.779,-75535.32596,30,444,TRUE,0
10,140,0.3,30,10,3,1,15,90.12,98.7,78106,61290,33362,10608,183366,5601,40107,6641,36598,88947,272313,21510551.81,16918048.72,-4592503.088,6410840.633,3652.900646,0,0,2176,1755,0,2302658.042,3417388.8,-1114730.758,-37157.69193,30,444,TRUE,0
10,144,0.3,30,10,1,3,30,45.06,49.35,61182,73079,33139,10697,178097,4882,36849,5957,37050,84738,262835,28028783.88,9730272.35,-18298511.53,13713764.6,3886.020006,0,0,2250,3529,0,1388212.332,3417388.8,-2029176.468,-67639.21558,30,436,TRUE,0
10,144,0.3,30,10,1,3,30,90.12,98.7,61182,73079,33139,10697,178097,4882,36849,5957,37050,84738,262835,28028783.88,16043155.9,-11985627.98,13713764.6,3886.020006,0,0,2250,3529,0,2776424.665,3417388.8,-640964.135,-21365.47117,30,436,TRUE,0
10,144,0.3,30,10,1,3,15,45.06,49.35,60719,72271,32976,10658,176624,4883,36051,5900,37063,83897,260521,21176908.27,9571834.19,-11605074.08,7199822.141,4076.909479,0,0,2256,1766,0,1587733.631,3417388.8,-1829655.169,-60988.50565,30,456,TRUE,0
10,144,0.3,30,10,1,3,15,90.12,98.7,60719,72271,32976,10658,176624,4883,36051,5900,37063,83897,260521,21176908.27,15726279.58,-5450628.686,7199822.141,4076.909479,0,0,2256,1766,0,3175467.261,3417388.8,-241921.5388,-8064.051292,30,456,TRUE,0
10,141,0.3,30,10,1,1,30,45.06,49.35,76490,62100,33509,10667,182766,5374,39560,6329,36927,88190,270956,27284871.1,9824240.144,-17460630.96,13532822.27,3943.130031,0,0,2220,3432,0,614159.6222,3417388.8,-2803229.178,-93440.97259,30,442,TRUE,0
