cycle,investor_percent_share,exotic_price_per_bdft,native_price_per_bdft,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,partners_earning,independent_earning,investor_total_profit,total_investment_cost,total_investments
103,0.5,135.18,148.05,73413,56044,38353,9518,22368,25495,11211,33925,10898846.277262656,8532285.369471261,-2366560.9077913947,19392.377966205007,0.0,493442.5003226652,2344855.0499999993,30
104,0.5,135.18,148.05,72595,55849,38240,9519,21742,24861,11145,33886,10978544.17033884,8678429.216364507,-2300114.9539743327,31587.899279490783,0.0,493442.5003226652,2344855.0499999993,30
105,0.5,135.18,148.05,71300,55941,38150,9546,21108,24250,11037,33873,11087517.07342508,8687702.133164722,-2399814.940260358,39781.61799153949,0.0,493442.5003226652,2344855.0499999993,30
106,0.5,135.18,148.05,67358,58798,38002,9569,20539,23621,10908,33919,11165450.516468111,8834867.03338108,-2330583.483087031,29950.222299464946,0.0,493442.5003226652,2344855.0499999993,30
107,0.5,135.18,148.05,62899,62046,37950,9641,19964,23034,10782,33939,11273567.971921517,8898063.234255144,-2375504.737666372,32668.684859999998,0.0,493442.5003226652,2344855.0499999993,30
108,0.5,135.18,148.05,57782,65954,37941,9647,19427,22509,10652,33966,11349825.932468832,8973944.850785322,-2375881.081683509,31783.58840901003,0.0,493442.5003226652,2344855.0499999993,30
109,0.5,135.18,148.05,55348,67182,37909,9658,25225,21932,10566,33965,11571304.525432318,9037899.875077069,-2533404.6503552496,19460.875602617714,0.0,493442.5003226652,2344855.0499999993,30
110,0.5,135.18,148.05,54712,66574,37931,9674,24515,21421,10513,33920,11636508.785773952,9104544.96235312,-2531963.823420832,19724.216995894792,0.0,493442.5003226652,2344855.0499999993,30
111,0.5,135.18,148.05,54064,66191,37873,9713,5970,38799,10460,33875,11716127.410846315,9261955.437762553,-2454171.9730837625,25324.329829968916,0.0,493442.5003226652,2344855.0499999993,30
112,0.5,135.18,148.05,53417,65826,37745,9723,5788,37834,10407,33820,11817153.234176932,9273266.142497875,-2543887.091679057,30323.887188075594,0.0,493442.5003226652,2344855.0499999993,30
113,0.5,135.18,148.05,59662,65344,37740,9740,5599,36838,10364,33781,11888727.3201169,9414452.52174194,-2474274.79837496,27068.149740355395,0.0,493442.5003226652,2344855.0499999993,30
114,0.5,135.18,148.05,68265,64852,37766,9759,5424,35961,10319,33714,11985176.849561512,9459621.065989643,-2525555.783571869,34687.99200666296,0.0,493442.5003226652,2344855.0499999993,30
115,0.5,135.18,148.05,76290,64321,37774,9811,5272,35056,10271,33674,12053024.674785202,9547339.226619843,-2505685.448165359,31135.1773193809,0.0,493442.5003226652,2344855.0499999993,30
116,0.5,135.18,148.05,75421,63721,37810,9868,5116,34188,10219,33632,12129850.504856925,9584553.481370952,-2545297.0234859735,12628.659530725405,0.0,493442.5003226652,2344855.0499999993,30
117,0.5,135.18,148.05,73972,63755,37810,9868,4978,33340,10174,33588,12200009.289247843,9700465.711609222,-2499543.5776386205,13957.691541111111,0.0,493442.5003226652,2344855.0499999993,30
118,0.5,135.18,148.05,69322,67158,37685,9901,4839,32523,10120,33540,12286829.930554744,9736382.42198465,-2550447.5085700937,25013.19732666621,0.0,493442.5003226652,2344855.0499999993,30
119,0.5,135.18,148.05,65539,69636,37633,9939,4697,31721,10068,33504,12350692.153365998,9862030.551828466,-2488661.6015375312,14920.960180318401,0.0,493442.5003226652,2344855.0499999993,30
120,0.5,135.18,148.05,60815,73076,37599,9979,4564,30931,9774,33705,12443412.114030026,9899340.969520312,-2544071.144509714,28423.126717433806,0.0,493442.5003226652,2344855.0499999993,30
121,0.5,135.18,148.05,58166,74413,37595,9991,31589,30159,9267,34133,12634610.96661462,10043012.022552865,-2591598.944061756,7919.597105601137,0.0,493442.5003226652,2344855.0499999993,30
122,0.5,135.18,148.05,57464,73800,37622,10009,30653,29403,8925,34376,12715028.69942048,10112777.304420246,-2602251.3950002342,18471.23711717761,0.0,493442.5003226652,2344855.0499999993,30
123,0.5,135.18,148.05,56803,73271,37526,10033,25589,32925,8816,34411,12774320.26412923,10239372.196659124,-2534948.067470107,14705.3978284004,0.0,493442.5003226652,2344855.0499999993,30
124,0.5,135.18,148.05,56140,72708,37415,10088,24815,32125,8741,34384,12848710.202699441,10281932.76209676,-2566777.4406026807,9101.373304624703,0.0,493442.5003226652,2344855.0499999993,30
125,0.5,135.18,148.05,63735,72016,37513,10108,24114,31328,8686,34343,12914668.069860864,10414178.364108406,-2500489.7057524584,9612.62846868687,0.0,493442.5003226652,2344855.0499999993,30
126,0.5,135.18,148.05,70223,71563,37418,10143,23377,30516,8591,34359,13014232.151547695,10456576.767193032,-2557655.384354662,39608.010025626594,0.0,493442.5003226652,2344855.0499999993,30
127,0.5,135.18,148.05,78965,70966,37429,10155,22746,29800,8505,34359,13083789.992321773,10530530.174306843,-2553259.818014929,27049.19869060546,0.0,493442.5003226652,2344855.0499999993,30
128,0.5,135.18,148.05,78038,70517,37333,10239,22076,29066,8418,34354,13196050.46345727,10611101.79726645,-2584948.66619082,37988.821782717554,0.0,493442.5003226652,2344855.0499999993,30
129,0.5,135.18,148.05,76431,70536,37371,10274,21428,28384,8279,34400,13268506.42360524,10680948.212357279,-2587558.211247962,27928.48115798576,0.0,493442.5003226652,2344855.0499999993,30
130,0.5,135.18,148.05,70956,74670,37295,10271,20801,27718,8216,34383,13366306.833074989,10769458.711131763,-2596848.121943226,29746.13931333333,0.0,493442.5003226652,2344855.0499999993,30
131,0.5,135.18,148.05,66870,77274,37305,10269,20224,27018,8171,34343,13452129.290836303,10876937.315294161,-2575191.975542141,23683.435362841254,0.0,493442.5003226652,2344855.0499999993,30
132,0.5,135.18,148.05,62436,80245,37366,10271,19609,26401,8143,34295,13527872.3550154,10919725.667866424,-2608146.687148977,18078.675688163305,0.0,493442.5003226652,2344855.0499999993,30
133,0.5,135.18,148.05,60357,80934,37367,10270,25420,25815,8104,34235,13741143.320018398,10999824.021620508,-2741319.2983978894,29459.705185770235,0.0,493442.5003226652,2344855.0499999993,30
134,0.5,135.18,148.05,59697,80372,37348,10268,24709,25193,8063,34189,13825014.232635688,11059812.397051666,-2765201.835584022,29209.245371504854,0.0,493442.5003226652,2344855.0499999993,30
135,0.5,135.18,148.05,59002,79804,37285,10274,6016,42583,8029,34143,13906301.866131488,11105925.161588274,-2800376.7045432143,27395.488927754774,0.0,493442.5003226652,2344855.0499999993,30
136,0.5,135.18,148.05,58309,79164,37285,10288,5840,41462,7976,34102,13998739.944193307,11197568.258261466,-2801171.685931841,27160.13850832905,0.0,493442.5003226652,2344855.0499999993,30
137,0.5,135.18,148.05,66674,78404,37421,10298,5661,40428,7940,34047,14087913.203889854,11282614.224566692,-2805298.9793231618,30736.590436809383,0.0,493442.5003226652,2344855.0499999993,30
138,0.5,135.18,148.05,74400,77818,37380,10317,5483,39375,7860,34052,14175607.061407505,11392267.786713341,-2783339.2746941634,26032.638428518927,0.0,493442.5003226652,2344855.0499999993,30
