seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,investor_percent_earning_share,exotic_price_per_bdft,native_price_per_bdft,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,own_laborer,member_laborer,independent_laborer
10.0,40,15,1,1,15,50,0.3,90.12,98.7,39109,1972,47471,8787,2411,16744,23740,30309,7381813.961590658,23659152.62390177,16277338.66231111,49061.43448499998,0.0,0.0,8362795.500000005,50,297,19,12,0
10.0,41,15,1,1,15,50,0.3,90.12,98.7,46001,1966,47274,8807,2356,16334,23610,30282,7516173.134040658,23659152.62390177,16142979.489861112,49638.252684999985,0.0,0.0,8362795.500000005,50,297,20,15,0
10.0,42,15,1,1,15,50,0.3,90.12,98.7,51211,1953,47071,8865,2290,15884,23495,30265,7685531.969405659,23659152.62390177,15973620.654496111,75483.16083,0.0,0.0,8362795.500000005,50,297,10,14,0
10.0,43,15,1,1,15,50,0.3,90.12,98.7,54538,1940,46790,9008,2226,15462,23357,30232,7828962.014260659,23659152.62390177,15830190.60964111,80444.406665,0.0,0.0,8362795.500000005,50,297,11,5,0
10.0,44,15,1,1,15,50,0.3,90.12,98.7,53920,1934,46608,9011,2160,15056,23224,30206,7904612.061620659,23659152.62390177,15754540.56228111,24477.199074999997,0.0,0.0,8362795.500000005,50,297,20,4,0
10.0,45,15,1,1,15,50,0.3,90.12,98.7,52590,2681,46474,9011,2099,14674,23082,30178,8013810.180460659,23659152.62390177,15645342.443441112,16090.181204999999,0.0,0.0,8362795.500000005,50,297,20,14,0
10.0,46,15,1,1,15,50,0.3,90.12,98.7,47187,7457,46311,9021,2052,14311,22945,30146,8173330.406520659,23659152.62390177,15485822.21738111,62218.77948999998,0.0,0.0,8362795.500000005,50,297,19,12,0
10.0,47,15,1,1,15,50,0.3,90.12,98.7,43830,10204,46152,9030,2001,13953,22824,30124,8316076.596840659,23659152.62390177,15343076.02706111,53831.76161999998,0.0,0.0,8362795.500000005,50,297,20,15,0
10.0,48,15,1,1,15,50,0.3,90.12,98.7,41090,12367,45974,9034,1950,13574,22689,30093,8496564.367575658,23659152.62390177,15162588.256326111,53831.76161999998,0.0,0.0,8362795.500000005,50,297,10,12,0
10.0,49,15,1,1,15,50,0.3,90.12,98.7,40015,12844,45801,9043,27800,13197,22553,30065,8618332.265720658,23659152.62390177,15040820.358181112,62902.63402499998,0.0,0.0,8362795.500000005,50,297,11,14,0
