seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,exotic_price_per_bdft,native_price_per_bdft,investor_percent_earning_share,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,own_laborer,member_laborer,independent_laborer,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,with_investment
10.0,128,10,1,3,15,15,90.12,98.7,0.4,75751,54803,34259,10329,23008,31084,8354,35595,15791708.736086424,9145879.824589621,-6645828.911496803,6015859.112844505,0.0,1624,1331,0,5146130.527684347,1708694.3999999997,15,217,true
10.0,128,10,1,1,30,15,45.06,49.35,0.4,75973,55745,34432,10354,22890,31043,8304,35557,15762613.119748633,6730642.508885734,-9031970.6108629,11771335.73392284,0.0,267,2526,0,3783645.455115281,1708694.3999999997,15,166,true
10.0,128,10,1,1,30,15,90.12,98.7,0.4,75973,55745,34432,10354,22890,31043,8304,35557,15762613.119748633,11752590.617771469,-4010022.5019771643,11771335.73392284,0.0,267,2526,0,7567290.910230562,1708694.3999999997,15,166,true
10.0,128,10,1,1,15,15,45.06,49.35,0.4,75842,54986,34315,10402,22987,31124,8439,35690,15798974.883236984,5427287.11229481,-10371687.770942174,6155691.490360195,0.0,1624,1330,0,2573065.2638421734,1708694.3999999997,15,218,true
10.0,128,10,1,1,15,15,90.12,98.7,0.4,75842,54986,34315,10402,22987,31124,8439,35690,15798974.883236984,9145879.824589621,-6653095.0586473625,6155691.490360195,0.0,1624,1330,0,5146130.527684347,1708694.3999999997,15,218,true
10.0,128,10,3,3,30,5,45.06,49.35,0.4,68591,54812,33676,9111,19342,26755,8189,30359,7541889.987021969,3916312.0733064516,-3625577.913715517,5971741.364593277,115990092.1903757,309,1110,1174,863827.6508634618,569564.7999999999,5,0,true
10.0,128,10,3,3,30,5,90.12,98.7,0.4,68591,54812,33676,9111,19342,26755,8189,30359,7541889.987021969,7263059.346612903,-278830.6404090654,7773500.338877644,231980184.3807514,309,1110,1174,1727655.3017269236,569564.7999999999,5,0,true
10.0,128,10,3,3,15,5,45.06,49.35,0.4,74751,54535,34123,10058,21981,29042,8506,34040,7780765.427116094,3812655.4955675146,-3968109.9315485796,4378212.096779021,32805878.24742891,209,1080,223,1257977.9003867325,569564.7999999999,5,9,true
10.0,128,10,3,3,15,5,90.12,98.7,0.4,74751,54535,34123,10058,21981,29042,8506,34040,7780765.427116094,7055746.191135028,-725019.2359810658,4452254.597013714,65611756.49485782,209,1080,223,2515955.800773465,569564.7999999999,5,9,true
10.0,128,10,3,1,30,5,45.06,49.35,0.4,68404,55399,33677,8989,19154,26694,8249,29652,7554635.3455544645,3537001.9021616518,-4017633.4433928127,4829847.098782013,138470916.62101385,332,1126,1289,358080.75600372895,569564.7999999999,5,21,true
10.0,128,10,3,1,30,5,90.12,98.7,0.4,68404,55399,33677,8989,19154,26694,8249,29652,7554635.3455544645,6504439.004323304,-1050196.3412311608,5378038.21092209,276941833.2420277,332,1126,1289,716161.5120074579,569564.7999999999,5,21,true
10.0,128,10,3,1,15,5,45.06,49.35,0.4,73728,54993,34218,9903,21137,28401,8458,33282,7649470.821255284,3802667.2683041953,-3846803.552951089,4015730.502421199,52322706.17410886,412,934,376,1239530.5055007082,569564.7999999999,5,9,true
10.0,128,10,3,1,15,5,90.12,98.7,0.4,73728,54993,34218,9903,21137,28401,8458,33282,7649470.821255284,7035769.736608392,-613701.0846468927,4408899.140337156,104645412.34821773,412,934,376,2479061.0110014165,569564.7999999999,5,9,true
10.0,128,10,1,3,30,5,45.06,49.35,0.4,68545,55422,33812,9084,19610,26964,8012,30660,7187134.778639164,3388395.558685996,-3798739.2199531677,5642548.106845919,111520661.05204022,410,988,1214,846153.3977234999,569564.7999999999,5,0,true
10.0,128,10,1,3,30,5,90.12,98.7,0.4,68545,55422,33812,9084,19610,26964,8012,30660,7187134.778639164,6207226.317371992,-979908.4612671714,7243450.784084517,223041322.10408044,410,988,1214,1692306.7954469998,569564.7999999999,5,0,true
10.0,128,10,1,3,15,5,45.06,49.35,0.4,74527,55303,34124,10052,21799,29154,8333,33926,6192225.148861663,3301841.9897032296,-2890383.159158434,3634443.252236954,36323546.92410607,239,819,313,1257977.9003867325,569564.7999999999,5,9,true
10.0,128,10,1,3,15,5,90.12,98.7,0.4,74527,55303,34124,10052,21799,29154,8333,33926,6192225.148861663,6034119.1794064585,-158105.9694552049,3745951.806531474,72647093.84821214,239,819,313,2515955.800773465,569564.7999999999,5,9,true
10.0,128,10,1,1,30,5,45.06,49.35,0.4,68637,55486,33606,8965,19222,26819,8001,29823,6995679.546381206,3307808.095313062,-3687871.4510681443,5518596.4000974335,133216435.93931845,405,1006,1339,738703.4465595871,569564.7999999999,5,0,true
10.0,128,10,1,1,30,5,90.12,98.7,0.4,68637,55486,33606,8965,19222,26819,8001,29823,6995679.546381206,6046051.390626123,-949628.1557550831,6979706.492885572,266432871.8786369,405,1006,1339,1477406.8931191743,569564.7999999999,5,0,true
10.0,128,10,1,1,15,5,45.06,49.35,0.4,73081,55052,34069,9798,21322,28554,8273,33305,6627479.432777048,3278450.5067463266,-3349028.9260307215,3876456.8729921095,55984490.43267847,283,846,462,1226789.2564441946,569564.7999999999,5,9,true
10.0,128,10,1,1,15,5,90.12,98.7,0.4,73081,55052,34069,9798,21322,28554,8273,33305,6627479.432777048,5987336.213492652,-640143.2192843957,4093954.918385033,111968980.86535694,283,846,462,2453578.512888389,569564.7999999999,5,9,true
