PLOT-Name,3PG-Mean_DBH,3PG-Basal_Area
plot396,82.3018,52.6676
plot397,79.5677,49.7237
plot398,68.9215,37.3078
plot399,86.2132,58.3764
plot400,77.1342,46.7287
plot401,85.7338,57.729
plot402,67.0452,35.3042
plot403,89.8553,63.4129
plot404,88.1077,43.2888
plot405,77.5911,47.2839
plot406,77.1383,45.799
plot407,71.3133,39.9421
plot408,76.4637,45.9199
plot409,75.869,45.2084
plot410,80.7985,51.274
plot411,83.6581,54.9674
plot412,76.3619,45.7977
plot413,80.3372,50.1833
plot414,71.6781,40.3518
plot415,78.7573,48.7159
plot416,97.2117,37.1105
plot417,321.774,32.5276
plot418,75.4487,44.7088
plot419,73.5696,42.5096
plot420,72.0285,40.7473
plot421,69.083,37.4828
plot422,80.1144,50.4094
plot423,81.6333,52.3389
plot424,82.9424,54.0311
plot425,76.9707,46.5309
plot426,75.771,45.0916
plot427,84.3224,55.8439
plot428,75.3652,44.61
plot429,83.9366,55.3341
plot430,71.3389,39.9708
plot431,79.6073,49.7733
plot432,65.9028,34.1113
plot433,76.2516,45.6654
plot434,68.5585,36.9158
plot435,70.3759,38.8989
plot436,72.3579,41.1209
plot437,95.0495,48.9597
plot438,71.9033,40.6057
plot439,79.8384,50.0626
plot440,78.0498,47.8446
plot441,76.9798,46.5418
plot442,75.2337,44.4544
plot443,82.365,53.2813
plot444,79.6984,49.8872
plot445,77.0133,46.5824
plot446,75.8197,45.1496
plot447,81.8892,52.6676
plot448,73.8391,42.8215
plot449,119.1877,47.9757
plot450,133.9916,15.5109
plot451,258.1853,52.3544
plot452,74.609,43.282
plot453,76.8825,46.4243
plot454,79.15,48.711
plot455,83.3513,54.5651
plot456,70.3182,38.8351
plot457,71.1253,39.7318
plot458,84.1125,55.5662
plot459,73.8973,42.4602
plot460,84.9241,56.6438
plot461,78.5105,48.4112
plot462,84.224,55.7137
plot463,77.6806,47.3931
plot464,74.9874,44.1638
plot465,85.4891,57.3999
plot466,77.6966,47.4126
plot467,77.474,47.1414
plot468,79.7558,49.959
