#;has_road;investment_cost;is_candidate_nursery;is_investable;is_invested;is_itp;is_near_water;is_nursery;is_policed;location;my_climate;my_laborers;my_soil;name;neighborhood_shape;plot_trees;projected_profit;rotation_years
1665;false;1620.0;false;false;false;false;false;false;false;{3955.048626824515,2312.30923098966,0.0};climate[14];[];soil[255];'plot1665';polygon ([{3810.7283209471498,2159.138495085994,0.0},{3807.7781191772083,2258.3023002929986,0.0},{3804.8280974103836,2357.4661103291437,0.0},{3801.8782556460937,2456.6299251930322,0.0},{3901.0420019093435,2459.5796739161015,0.0},{4000.205568169942,2462.52941781166,0.0},{4099.368954424979,2465.479156881571,0.0},{4102.318781708484,2366.315882027382,0.0},{4105.268788993242,2267.1526119995397,0.0},{4108.2189762799535,2167.989346797578,0.0},{4009.055604503141,2165.03906772146,0.0},{3909.8920527272858,2162.0887838180643,0.0},{3810.7283209471498,2159.138495085994,0.0}]);[trees[19341],trees[37272],trees[37273],trees[54937]];1358.8515147069886;0
1666;false;1620.0;false;false;false;false;false;false;false;{3952.098702301155,2411.4727734347107,0.0};climate[14];[];soil[259];'plot1666';polygon ([{3807.7781191772083,2258.3023002929986,0.0},{3804.8280974103836,2357.4661103291437,0.0},{3801.8782556460937,2456.6299251930322,0.0},{3798.9285938865505,2555.793744884664,0.0},{3898.0923449774273,2558.743313603336,0.0},{3997.25591606379,2561.6928774956614,0.0},{4096.419307144941,2564.642436560942,0.0},{4099.368954424979,2465.479156881571,0.0},{4102.318781708484,2366.315882027382,0.0},{4105.268788993242,2267.1526119995397,0.0},{4006.1054123891518,2264.2025129247922,0.0},{3906.9418557835743,2261.252409022767,0.0},{3807.7781191772083,2258.3023002929986,0.0}]);[trees[10112],trees[10113],trees[19345],trees[28473],trees[32626],trees[32628],trees[41961],trees[75577],trees[79889]];1388.3917650267058;0
1668;false;1620.0;false;false;false;false;false;false;false;{3946.1993932635523,2609.7998728053644,0.0};climate[14];[];soil[259];'plot1668';polygon ([{3801.8782556460937,2456.6299251930322,0.0},{3798.9285938865505,2555.793744884664,0.0},{3795.9791121310554,2654.9575694040395,0.0},{3793.029810381937,2754.1213987511583,0.0},{3892.1935711271362,2757.070607458474,0.0},{3991.357151866192,2760.019811340375,0.0},{4090.520552598522,2762.969010395929,0.0},{4093.4698398705805,2663.805721065728,0.0},{4096.419307144941,2564.642436560942,0.0},{4099.368954424979,2465.479156881571,0.0},{4000.205568169942,2462.52941781166,0.0},{3901.0420019093435,2459.5796739161015,0.0},{3801.8782556460937,2456.6299251930322,0.0}]);[trees[19530],trees[28665],trees[36080],trees[45303],trees[45306],trees[76864]];1358.8515147069886;0
1741;false;558.0;true;true;false;false;false;false;false;{4165.176844356145,1921.5565676369588,0.0};climate[14];[];soil[243];'plot1741';polygon ([{4020.8581729657017,1768.3853351809084,0.0},{4017.9072608513525,1867.5487610744312,0.0},{4014.9565287351143,1966.7121917959303,0.0},{4012.005976619199,2065.8756273451727,0.0},{4111.169343569083,2068.8260864224285,0.0},{4210.332530515734,2071.776540673105,0.0},{4309.495537464507,2074.7269900972024,0.0},{4312.4460751020815,1975.5640945474152,0.0},{4315.396792738815,1876.4012038228102,0.0},{4318.347690372495,1777.2383179252502,0.0},{4219.184697902296,1774.2873285042588,0.0},{4120.021525432239,1771.3363342564553,0.0},{4020.8581729657017,1768.3853351809084,0.0}]);[trees[67],trees[889],trees[3252],trees[3255],trees[12338],trees[12345],trees[27334],trees[45400],trees[51420],trees[51422],trees[53868],trees[56952],trees[65386],trees[67474]];620.34525671406;0
1742;false;1080.0;true;false;false;false;false;false;false;{4162.226209480345,2020.7197307730094,0.0};climate[14];[];soil[250];'plot1742';polygon ([{4017.9072608513525,1867.5487610744312,0.0},{4014.9565287351143,1966.7121917959303,0.0},{4012.005976619199,2065.8756273451727,0.0},{4009.055604503141,2165.03906772146,0.0},{4108.2189762799535,2167.989346797578,0.0},{4207.382168054115,2170.9396210475825,0.0},{4306.5451798281865,2173.8898904712405,0.0},{4309.495537464507,2074.7269900972024,0.0},{4312.4460751020815,1975.5640945474152,0.0},{4315.396792738815,1876.4012038228102,0.0},{4216.233795442036,1873.4503944003955,0.0},{4117.070618145983,1870.4995801509358,0.0},{4017.9072608513525,1867.5487610744312,0.0}]);[trees[509],trees[1732],trees[3627],trees[6247],trees[8369],trees[17603],trees[21541],trees[21544],trees[24657],trees[27335],trees[33602],trees[38957],trees[40024],trees[42908],trees[42931],trees[56954],trees[74212],trees[74216],trees[76500],trees[78830]];1004.3685108703829;0
1743;false;1386.0;false;false;false;false;false;false;false;{4159.275754604721,2119.8828987351735,0.0};climate[14];[];soil[250];'plot1743';polygon ([{4014.9565287351143,1966.7121917959303,0.0},{4012.005976619199,2065.8756273451727,0.0},{4009.055604503141,2165.03906772146,0.0},{4006.1054123891518,2264.2025129247922,0.0},{4105.268788993242,2267.1526119995397,0.0},{4204.431985592702,2270.102706247708,0.0},{4303.595002192538,2273.052795670461,0.0},{4306.5451798281865,2173.8898904712405,0.0},{4309.495537464507,2074.7269900972024,0.0},{4312.4460751020815,1975.5640945474152,0.0},{4213.283072978142,1972.6134651233442,0.0},{4114.119890858419,1969.6628308731597,0.0},{4014.9565287351143,1966.7121917959303,0.0}]);[trees[1873],trees[1811],trees[5480],trees[6220],trees[15338],trees[15341],trees[15343],trees[15489],trees[20270],trees[20271],trees[23915],trees[39087],trees[39153],trees[51264],trees[64221],trees[64229],trees[72610],trees[75814],trees[76339]];1329.3112643872716;0
1744;false;360.0;true;true;false;false;false;false;false;{4156.325479730003,2219.046071523102,0.0};climate[14];[];soil[256];'plot1744';polygon ([{4012.005976619199,2065.8756273451727,0.0},{4009.055604503141,2165.03906772146,0.0},{4006.1054123891518,2264.2025129247922,0.0},{4003.1554002790945,2363.365962955402,0.0},{4102.318781708484,2366.315882027382,0.0},{4201.481983133708,2369.265796273481,0.0},{4300.645004557213,2372.215705694398,0.0},{4303.595002192538,2273.052795670461,0.0},{4306.5451798281865,2173.8898904712405,0.0},{4309.495537464507,2074.7269900972024,0.0},{4210.332530515734,2071.776540673105,0.0},{4111.169343569083,2068.8260864224285,0.0},{4012.005976619199,2065.8756273451727,0.0}]);[trees[590],trees[846],trees[543],trees[400],trees[15339],trees[17867],trees[38157],trees[45101],trees[47348],trees[51260],trees[51912],trees[59706],trees[68118],trees[68121],trees[76704],trees[78541],trees[78545],trees[80713]];706.2058896581757;0
1747;false;1440.0;false;false;false;false;false;false;false;{4147.4757351174485,2516.5356188419973,0.0};climate[14];[];soil[259];'plot1747';polygon ([{4003.1554002790945,2363.365962955402,0.0},{4000.205568169942,2462.52941781166,0.0},{3997.25591606379,2561.6928774956614,0.0},{3994.306443962734,2660.856342004612,0.0},{4093.4698398705805,2663.805721065728,0.0},{4192.633055770653,2666.755095301196,0.0},{4291.7960916679585,2669.7044647119474,0.0},{4294.745549295447,2570.541540215956,0.0},{4297.695186924073,2471.378620543517,0.0},{4300.645004557213,2372.215705694398,0.0},{4201.481983133708,2369.265796273481,0.0},{4102.318781708484,2366.315882027382,0.0},{4003.1554002790945,2363.365962955402,0.0}]);[trees[2320],trees[5782],trees[14784],trees[17737],trees[23947],trees[26872],trees[32930],trees[32936],trees[35731],trees[67837],trees[78408]];1329.3112643872716;0
1748;false;1458.0;true;false;false;false;false;false;false;{4144.526180252375,2615.69881093211,0.0};climate[14];[];soil[259];'plot1748';polygon ([{4000.205568169942,2462.52941781166,0.0},{3997.25591606379,2561.6928774956614,0.0},{3994.306443962734,2660.856342004612,0.0},{3991.357151866192,2760.019811340375,0.0},{4090.520552598522,2762.969010395929,0.0},{4189.683773326338,2765.9182046263013,0.0},{4288.8468140464975,2768.8673940324225,0.0},{4291.7960916679585,2669.7044647119474,0.0},{4294.745549295447,2570.541540215956,0.0},{4297.695186924073,2471.378620543517,0.0},{4198.53216067655,2468.4288911249023,0.0},{4099.368954424979,2465.479156881571,0.0},{4000.205568169942,2462.52941781166,0.0}]);[trees[827],trees[8496],trees[8497],trees[17732],trees[44964],trees[44967],trees[53436],trees[61869],trees[61870],trees[61871],trees[70243],trees[70248],trees[78404]];1299.7710140675545;0
1819;false;1404.0;false;false;false;false;false;false;false;{4369.404634217761,1729.132414685504,0.0};climate[7];[];soil[243];'plot1819';polygon ([{4225.08704281447,1575.9612111910246,0.0},{4222.135780359618,1675.1242674344685,0.0},{4219.184697902296,1774.2873285042588,0.0},{4216.233795442036,1873.4503944003955,0.0},{4315.396792738815,1876.4012038228102,0.0},{4414.5596100358525,1879.3520084202755,0.0},{4513.722247335478,1882.3028081916273,0.0},{4516.673135319841,1783.1402822895907,0.0},{4519.624203299871,1683.977761210641,0.0},{4522.5754512791755,1584.8152449568734,0.0},{4423.412828452885,1581.863905194914,0.0},{4324.250025633024,1578.9125606061425,0.0},{4225.08704281447,1575.9612111910246,0.0}]);[trees[1317],trees[72177],trees[80292]];1152.0697624689687;0
1820;false;1188.0;false;false;false;false;false;false;false;{4366.453648998082,1828.2952081720578,0.0};climate[7];[];soil[243];'plot1820';polygon ([{4222.135780359618,1675.1242674344685,0.0},{4219.184697902296,1774.2873285042588,0.0},{4216.233795442036,1873.4503944003955,0.0},{4213.283072978142,1972.6134651233442,0.0},{4312.4460751020815,1975.5640945474152,0.0},{4411.608897224069,1978.5147191456053,0.0},{4510.771539349109,1981.465338918846,0.0},{4513.722247335478,1882.3028081916273,0.0},{4516.673135319841,1783.1402822895907,0.0},{4519.624203299871,1683.977761210641,0.0},{4420.461575649679,1681.0266014444642,0.0},{4321.298768003704,1678.0754368524067,0.0},{4222.135780359618,1675.1242674344685,0.0}]);[trees[1899],trees[1667],trees[8762],trees[23821],trees[46913],trees[50618],trees[55364],trees[55368],trees[55370],trees[62115],trees[63795],trees[78651],trees[80297]];1033.9087611901;0
1821;false;1260.0;false;false;false;false;false;false;false;{4363.502843775204,1927.4580064840266,0.0};climate[14];[];soil[250];'plot1821';polygon ([{4219.184697902296,1774.2873285042588,0.0},{4216.233795442036,1873.4503944003955,0.0},{4213.283072978142,1972.6134651233442,0.0},{4210.332530515734,2071.776540673105,0.0},{4309.495537464507,2074.7269900972024,0.0},{4408.658364414587,2077.6774346958846,0.0},{4507.821011362947,2080.627874470083,0.0},{4510.771539349109,1981.465338918846,0.0},{4513.722247335478,1882.3028081916273,0.0},{4516.673135319841,1783.1402822895907,0.0},{4417.510502845165,1780.1893025198951,0.0},{4318.347690372495,1777.2383179252502,0.0},{4219.184697902296,1774.2873285042588,0.0}]);[trees[2323],trees[2162],trees[14291],trees[14295],trees[23819],trees[24949],trees[24952],trees[29983],trees[35978],trees[35983],trees[42126],trees[44843],trees[53689],trees[70130]];1152.0697624689687;0
1822;false;540.0;true;true;false;false;false;false;false;{4360.552218551311,2026.6208096215269,0.0};climate[14];[];soil[250];'plot1822';polygon ([{4216.233795442036,1873.4503944003955,0.0},{4213.283072978142,1972.6134651233442,0.0},{4210.332530515734,2071.776540673105,0.0},{4207.382168054115,2170.9396210475825,0.0},{4306.5451798281865,2173.8898904712405,0.0},{4405.7080116014695,2176.840155069949,0.0},{4504.870663373615,2179.7904148448724,0.0},{4507.821011362947,2080.627874470083,0.0},{4510.771539349109,1981.465338918846,0.0},{4513.722247335478,1882.3028081916273,0.0},{4414.5596100358525,1879.3520084202755,0.0},{4315.396792738815,1876.4012038228102,0.0},{4216.233795442036,1873.4503944003955,0.0}]);[trees[1268],trees[1293],trees[1964],trees[1862],trees[5408],trees[18497],trees[23849],trees[42670],trees[51155],trees[59077],trees[61752]];561.2647560746258;0
1823;false;1458.0;true;false;false;false;false;false;false;{4357.601773327187,2125.783617583569,0.0};climate[14];[];soil[250];'plot1823';polygon ([{4213.283072978142,1972.6134651233442,0.0},{4210.332530515734,2071.776540673105,0.0},{4207.382168054115,2170.9396210475825,0.0},{4204.431985592702,2270.102706247708,0.0},{4303.595002192538,2273.052795670461,0.0},{4402.7578387896065,2276.00288026873,0.0},{4501.920495385886,2278.9529600425158,0.0},{4504.870663373615,2179.7904148448724,0.0},{4507.821011362947,2080.627874470083,0.0},{4510.771539349109,1981.465338918846,0.0},{4411.608897224069,1978.5147191456053,0.0},{4312.4460751020815,1975.5640945474152,0.0},{4213.283072978142,1972.6134651233442,0.0}]);[trees[2521],trees[933],trees[5976],trees[11057],trees[11742],trees[15241],trees[20274],trees[24405],trees[29394],trees[47882],trees[47965],trees[51160],trees[54157],trees[64756],trees[70967],trees[75748],trees[79115],trees[81228],trees[81322]];1388.3917650267058;0
1826;false;1620.0;false;false;false;false;false;false;false;{4348.751517657365,2423.272070416424,0.0};climate[14];[];soil[260];'plot1826';polygon ([{4204.431985592702,2270.102706247708,0.0},{4201.481983133708,2369.265796273481,0.0},{4198.53216067655,2468.4288911249023,0.0},{4195.582518223324,2567.5919908005744,0.0},{4294.745549295447,2570.541540215956,0.0},{4393.9084003637545,2573.4910848070867,0.0},{4493.071071430342,2576.4406245741993,0.0},{4496.020699413493,2477.2780649077613,0.0},{4498.970507399412,2378.1155100637116,0.0},{4501.920495385886,2278.9529600425158,0.0},{4402.7578387896065,2276.00288026873,0.0},{4303.595002192538,2273.052795670461,0.0},{4204.431985592702,2270.102706247708,0.0}]);[];1329.3112643872716;0
1902;false;360.0;true;false;false;false;false;false;false;{4558.877507624449,2032.5218691694317,0.0};climate[15];[];soil[251];'plot1902';polygon ([{4414.5596100358525,1879.3520084202755,0.0},{4411.608897224069,1978.5147191456053,0.0},{4408.658364414587,2077.6774346958846,0.0},{4405.7080116014695,2176.840155069949,0.0},{4504.870663373615,2179.7904148448724,0.0},{4604.0331351467175,2182.740669795312,0.0},{4703.1954269175185,2185.690919923596,0.0},{4706.145765260444,2086.5287395480555,0.0},{4709.096283601131,1987.3665639944375,0.0},{4712.046981940279,1888.204393262742,0.0},{4612.884704637108,1885.2536031391937,0.0},{4513.722247335478,1882.3028081916273,0.0},{4414.5596100358525,1879.3520084202755,0.0}]);[trees[2457],trees[1248],trees[1945],trees[6667],trees[29519],trees[38287],trees[58113],trees[71213]];354.48300383660575;0
1903;false;720.0;true;true;false;false;false;false;false;{4555.92707204874,2131.684317132691,0.0};climate[15];[];soil[251];'plot1903';polygon ([{4411.608897224069,1978.5147191456053,0.0},{4408.658364414587,2077.6774346958846,0.0},{4405.7080116014695,2176.840155069949,0.0},{4402.7578387896065,2276.00288026873,0.0},{4501.920495385886,2278.9529600425158,0.0},{4601.0829719811445,2281.903034992749,0.0},{4700.245268574683,2284.853105120361,0.0},{4703.1954269175185,2185.690919923596,0.0},{4706.145765260444,2086.5287395480555,0.0},{4709.096283601131,1987.3665639944375,0.0},{4609.934001474059,1984.4159538683016,0.0},{4510.771539349109,1981.465338918846,0.0},{4411.608897224069,1978.5147191456053,0.0}]);[trees[972],trees[1202],trees[6673],trees[7616],trees[9794],trees[11178],trees[11505],trees[16855],trees[18767],trees[25092],trees[36723],trees[45945],trees[68645],trees[72730],trees[79367],trees[80829],trees[80830],trees[81108]];738.5062579929287;0
1904;false;360.0;true;true;false;false;false;false;false;{4552.976816471841,2230.8467699188623,0.0};climate[15];[];soil[257];'plot1904';polygon ([{4408.658364414587,2077.6774346958846,0.0},{4405.7080116014695,2176.840155069949,0.0},{4402.7578387896065,2276.00288026873,0.0},{4399.807845978299,2375.165610290831,0.0},{4498.970507399412,2378.1155100637116,0.0},{4598.132988817175,2381.0654050130397,0.0},{4697.295290233917,2384.0152951399796,0.0},{4700.245268574683,2284.853105120361,0.0},{4703.1954269175185,2185.690919923596,0.0},{4706.145765260444,2086.5287395480555,0.0},{4606.983478311682,2083.578309420496,0.0},{4507.821011362947,2080.627874470083,0.0},{4408.658364414587,2077.6774346958846,0.0}]);[trees[1013],trees[1838],trees[2013],trees[1972],trees[26024],trees[36722],trees[36726],trees[36977],trees[45763],trees[45944],trees[62836]];617.5851386990242;0
1905;false;1098.0;true;false;false;false;false;false;false;{4550.026740895904,2330.009227528004,0.0};climate[15];[];soil[257];'plot1905';polygon ([{4405.7080116014695,2176.840155069949,0.0},{4402.7578387896065,2276.00288026873,0.0},{4399.807845978299,2375.165610290831,0.0},{4396.858033169876,2474.32834513695,0.0},{4496.020699413493,2477.2780649077613,0.0},{4595.183185654343,2480.2277798550203,0.0},{4694.34549189196,2483.1774899805896,0.0},{4697.295290233917,2384.0152951399796,0.0},{4700.245268574683,2284.853105120361,0.0},{4703.1954269175185,2185.690919923596,0.0},{4604.0331351467175,2182.740669795312,0.0},{4504.870663373615,2179.7904148448724,0.0},{4405.7080116014695,2176.840155069949,0.0}]);[trees[1014],trees[2009],trees[18580],trees[19037],trees[27706],trees[27708],trees[28157],trees[54657],trees[63077],trees[63085]];1004.3685108703829;0
