cycle,'EXOTIC',length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT)))
1275,EXOTIC,44782,58071,5292,34588
1276,EXOTIC,43413,56619,5248,34593
1277,EXOTIC,42178,55189,5177,34593
1278,EXOTIC,40928,53886,5116,34598
1279,EXOTIC,39767,52576,5045,34600
1280,EXOTIC,38629,51368,5000,34597
1281,EXOTIC,37563,50144,4956,34595
1282,EXOTIC,36475,48309,5509,34594
1283,EXOTIC,35431,46775,5826,34597
1284,EXOTIC,34423,45354,6119,34599
1285,EXOTIC,40881,44235,6132,34599
1286,EXOTIC,39747,43225,6068,34596
1287,EXOTIC,6989,73919,5992,34594
1288,EXOTIC,6781,72111,5919,34594
1289,EXOTIC,6611,70336,5860,34592
1290,EXOTIC,6404,68571,5805,34590
1291,EXOTIC,6210,66881,5732,34588
1292,EXOTIC,6039,65250,5686,34587
1293,EXOTIC,5891,63705,5635,34586
1294,EXOTIC,5735,62023,5658,34592
1295,EXOTIC,5578,60425,5643,34600
1296,EXOTIC,5413,58881,5628,34616
1297,EXOTIC,54011,57472,5557,34627
1298,EXOTIC,52438,56136,5491,34628
1299,EXOTIC,45877,59754,5427,34625
1300,EXOTIC,44459,58274,5376,34628
1301,EXOTIC,43178,56868,5315,34627
1302,EXOTIC,41945,55533,5258,34628
1303,EXOTIC,40692,54253,5198,34630
1304,EXOTIC,39484,52969,5146,34629
1305,EXOTIC,38345,51730,5090,34625
1306,EXOTIC,37318,49875,5679,34625
1307,EXOTIC,36257,48307,6045,34625
1308,EXOTIC,35217,46946,6298,34626
1309,EXOTIC,41888,45795,6270,34627
1310,EXOTIC,40735,44772,6196,34627
1311,EXOTIC,7237,76129,6120,34624
1312,EXOTIC,7013,74196,6046,34624
1313,EXOTIC,6809,72377,5977,34624
1314,EXOTIC,6610,70621,5921,34622
1315,EXOTIC,6419,68924,5853,34625
1316,EXOTIC,6241,67258,5773,34624
1317,EXOTIC,6074,65613,5709,34622
1318,EXOTIC,5896,63891,5723,34627
1319,EXOTIC,5737,62300,5714,34636
1320,EXOTIC,5591,60806,5668,34673
1321,EXOTIC,55368,59268,5615,34683
1322,EXOTIC,53781,57890,5544,34687
1323,EXOTIC,46986,61740,5488,34686
1324,EXOTIC,45661,60252,5425,34691
1325,EXOTIC,44298,58785,5367,34693
1326,EXOTIC,43020,57406,5304,34691
1327,EXOTIC,41764,56038,5237,34695
1328,EXOTIC,40589,54725,5193,34691
1329,EXOTIC,39449,53436,5142,34689
1330,EXOTIC,38286,51464,5788,34689
1331,EXOTIC,37243,49771,6151,34692
1332,EXOTIC,36214,48278,6386,34693
1333,EXOTIC,43163,47103,6381,34694
1334,EXOTIC,41921,45999,6313,34694
1335,EXOTIC,7564,78148,6248,34693
1336,EXOTIC,7315,76238,6180,34695
1337,EXOTIC,7094,74303,6118,34694
1338,EXOTIC,6887,72384,6059,34695
1339,EXOTIC,6649,70579,5993,34697
1340,EXOTIC,6470,68787,5920,34696
1341,EXOTIC,6292,67047,5833,34695
1342,EXOTIC,6134,65366,5854,34699
1343,EXOTIC,5972,63730,5846,34705
1344,EXOTIC,5824,62067,5832,34727
1345,EXOTIC,56882,60524,5759,34736
1346,EXOTIC,55125,59126,5686,34736
1347,EXOTIC,48194,63006,5627,34733
1348,EXOTIC,46777,61421,5550,34735
1349,EXOTIC,45434,59957,5487,34736
1350,EXOTIC,44100,58560,5428,34736
1351,EXOTIC,42841,57226,5369,34741
1352,EXOTIC,41583,55872,5314,34740
1353,EXOTIC,40458,54483,5261,34738
1354,EXOTIC,39233,52592,5903,34736
1355,EXOTIC,38088,50884,6291,34730
1356,EXOTIC,37041,49315,6601,34732
1357,EXOTIC,44323,48083,6596,34729
1358,EXOTIC,43045,46950,6530,34729
1359,EXOTIC,7832,79922,6456,34728
1360,EXOTIC,7582,77892,6381,34727
1361,EXOTIC,7350,75935,6326,34725
1362,EXOTIC,7142,74163,6271,34726
