cycle,'EXOTIC',length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT)))
223,EXOTIC,26315,37233,2339,37710
224,EXOTIC,25544,36314,2318,37678
225,EXOTIC,24807,35384,2286,37658
226,EXOTIC,24042,34205,2648,37625
227,EXOTIC,23348,33128,2883,37608
228,EXOTIC,22725,32177,3059,37578
229,EXOTIC,28723,31360,3064,37551
230,EXOTIC,27894,30642,3022,37534
231,EXOTIC,6263,50798,2971,37528
232,EXOTIC,6075,49493,2908,37504
233,EXOTIC,5879,48243,2827,37503
234,EXOTIC,5711,47085,2755,37515
235,EXOTIC,5548,45904,2716,37495
236,EXOTIC,5397,44845,2683,37470
237,EXOTIC,5236,43757,2647,37452
238,EXOTIC,5077,42630,2678,37442
239,EXOTIC,4945,41511,2703,37424
240,EXOTIC,4807,40487,2718,37397
241,EXOTIC,35712,39551,2682,37382
242,EXOTIC,34660,38665,2666,37364
243,EXOTIC,29266,42157,2617,37350
244,EXOTIC,28416,41145,2592,37334
245,EXOTIC,27617,40127,2549,37314
246,EXOTIC,26843,39128,2524,37292
247,EXOTIC,26083,38217,2468,37301
248,EXOTIC,25353,37286,2403,37313
249,EXOTIC,24648,36444,2264,37398
250,EXOTIC,23940,35120,2627,37462
251,EXOTIC,23273,34024,2827,37453
252,EXOTIC,22547,32992,2978,37486
253,EXOTIC,28454,32161,2950,37484
254,EXOTIC,27621,31410,2909,37451
255,EXOTIC,6150,51403,2875,37426
256,EXOTIC,5966,50163,2842,37403
257,EXOTIC,5791,48943,2803,37385
258,EXOTIC,5614,47670,2762,37355
259,EXOTIC,5446,46506,2730,37336
260,EXOTIC,5282,45425,2683,37319
261,EXOTIC,5147,44303,2646,37302
262,EXOTIC,5017,43137,2705,37271
263,EXOTIC,4887,42040,2746,37250
264,EXOTIC,4741,40953,2780,37231
265,EXOTIC,35403,39979,2751,37214
266,EXOTIC,34363,38970,2711,37178
267,EXOTIC,29055,42389,2674,37162
268,EXOTIC,28263,41381,2641,37137
269,EXOTIC,27439,40390,2610,37115
270,EXOTIC,26674,39386,2578,37097
271,EXOTIC,25940,38422,2543,37075
272,EXOTIC,25180,37556,2509,37055
273,EXOTIC,24450,36623,2478,37032
274,EXOTIC,23758,35342,2873,37009
275,EXOTIC,23050,34225,3132,36976
276,EXOTIC,22392,33196,3315,36956
277,EXOTIC,28438,32368,3313,36932
278,EXOTIC,27596,31596,3275,36906
279,EXOTIC,6346,51358,3209,36900
280,EXOTIC,6170,50101,3151,36892
281,EXOTIC,5974,48911,3093,36894
282,EXOTIC,5803,47703,3051,36878
283,EXOTIC,5597,46496,3011,36857
284,EXOTIC,5414,45380,2973,36839
285,EXOTIC,5256,44282,2946,36818
286,EXOTIC,5119,43084,3020,36796
