cycle,'NATIVE',length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT)))
201,NATIVE,83579,88685,26150,11614
202,NATIVE,78265,92207,26052,11648
203,NATIVE,73155,95521,25967,11663
204,NATIVE,67387,99548,25868,11693
205,NATIVE,64586,100563,25749,11746
206,NATIVE,63846,99584,25665,11759
207,NATIVE,63091,98626,25585,11764
208,NATIVE,62359,97724,25490,11782
209,NATIVE,69970,96730,25387,11808
210,NATIVE,78970,95831,25290,11839
211,NATIVE,87632,94910,25203,11858
212,NATIVE,86589,94051,25101,11893
213,NATIVE,84900,93874,25010,11919
214,NATIVE,79124,97775,24902,11957
215,NATIVE,74440,100587,24840,11966
216,NATIVE,68898,104301,24762,11961
217,NATIVE,66019,105387,24678,11985
218,NATIVE,65274,104375,24603,12002
219,NATIVE,64521,103386,24518,12018
220,NATIVE,63753,102391,24452,12023
221,NATIVE,72232,101430,24345,12062
222,NATIVE,79999,100476,24247,12093
223,NATIVE,89090,99566,24166,12104
224,NATIVE,88042,98628,24093,12110
225,NATIVE,86288,98441,23997,12143
226,NATIVE,80137,102663,23918,12156
227,NATIVE,75224,105643,23829,12170
228,NATIVE,69818,109127,23769,12180
229,NATIVE,67303,109746,23688,12205
230,NATIVE,66543,108727,23601,12224
231,NATIVE,65774,107698,23492,12270
232,NATIVE,65009,106640,23425,12281
233,NATIVE,73948,105651,23361,12290
234,NATIVE,82518,104683,23257,12338
235,NATIVE,90462,103670,23158,12392
236,NATIVE,89385,102698,23076,12419
237,NATIVE,87469,102600,22987,12441
238,NATIVE,80989,107139,22903,12464
239,NATIVE,75757,110397,22806,12493
240,NATIVE,70006,114238,22722,12503
241,NATIVE,67162,115197,22648,12510
242,NATIVE,66370,114094,22568,12525
243,NATIVE,65575,112982,22496,12525
244,NATIVE,64799,111879,22416,12559
245,NATIVE,74109,110866,22334,12570
246,NATIVE,83097,109864,22232,12602
247,NATIVE,91716,108814,22137,12644
248,NATIVE,90632,107729,22032,12693
249,NATIVE,88926,107459,21963,12706
250,NATIVE,82977,111322,21876,12731
251,NATIVE,77548,114706,21812,12749
252,NATIVE,71437,118912,21702,12801
253,NATIVE,68509,119915,21625,12827
254,NATIVE,67669,118822,21565,12832
255,NATIVE,66875,117675,21439,12889
256,NATIVE,66162,116620,21329,12931
257,NATIVE,74566,115482,21228,12975
258,NATIVE,83983,114404,21161,12973
259,NATIVE,93057,113311,21112,12965
260,NATIVE,91949,112248,21058,12968
261,NATIVE,90067,111956,20991,12974
262,NATIVE,83932,116011,20910,12986
263,NATIVE,78883,118915,20853,12995
264,NATIVE,72890,122917,20786,13002
265,NATIVE,69911,123917,20717,13017
266,NATIVE,69126,122772,20652,13022
267,NATIVE,68288,121633,20592,13030
268,NATIVE,67516,120536,20514,13040
269,NATIVE,76359,119387,20440,13058
270,NATIVE,84767,118284,20344,13088
271,NATIVE,94250,117146,20276,13102
272,NATIVE,93128,116121,20204,13132
273,NATIVE,91218,115899,20112,13180
274,NATIVE,84824,120247,20019,13224
275,NATIVE,79513,123438,19947,13246
276,NATIVE,73746,127110,19863,13275
277,NATIVE,70941,127797,19787,13310
278,NATIVE,70107,126637,19667,13384
279,NATIVE,69290,125442,19592,13410
280,NATIVE,68478,124339,19516,13445
281,NATIVE,77889,123165,19433,13473
282,NATIVE,86846,121967,19346,13507
283,NATIVE,95380,120873,19262,13549
284,NATIVE,94289,119787,19209,13551
285,NATIVE,92258,119490,19158,13564
286,NATIVE,85518,124077,19085,13579
287,NATIVE,80083,127421,18996,13620
288,NATIVE,74018,131356,18948,13621
289,NATIVE,70999,132185,18866,13652
290,NATIVE,70117,130870,18830,13685
291,NATIVE,69334,129594,18768,13736
292,NATIVE,68539,128396,18722,13739
293,NATIVE,78247,127209,18655,13770
294,NATIVE,87663,126027,18591,13797
295,NATIVE,96771,124798,18541,13850
296,NATIVE,95626,123589,18499,13868
297,NATIVE,93755,123221,18513,13881
298,NATIVE,87343,127305,18549,13920
