cycle,'NATIVE',length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT)))
1339,NATIVE,42435,88335,45549,27473
1340,NATIVE,41968,87487,45394,27524
1341,NATIVE,41075,87029,45322,27529
1342,NATIVE,37916,88814,45257,27532
1343,NATIVE,35380,90022,45194,27541
1344,NATIVE,32463,91648,45127,27553
1345,NATIVE,31057,91643,45181,27541
1346,NATIVE,30701,90542,45298,27576
1347,NATIVE,30319,89380,45512,27601
1348,NATIVE,29954,88332,45575,27621
1349,NATIVE,33665,87402,45539,27637
1350,NATIVE,37313,86619,45320,27686
1351,NATIVE,40903,85752,45177,27721
1352,NATIVE,40410,84963,45014,27758
1353,NATIVE,39546,84492,44945,27766
1354,NATIVE,36647,86110,44904,27782
1355,NATIVE,34099,87323,44827,27784
1356,NATIVE,31321,88805,44756,27790
1357,NATIVE,30021,88738,44841,27781
1358,NATIVE,29674,87654,44927,27809
1359,NATIVE,29344,86429,45165,27849
1360,NATIVE,28985,85385,45193,27878
1361,NATIVE,32411,84495,45162,27900
1362,NATIVE,36004,83734,44956,27961
